series,slice_index,roi_idx,orientation_deg,delta_hu,mtf50,mtf10,auc,pixel_spacing_mm,nyquist
LR,9,17,8.237503051757812,458.673921585083,0.22917131019232687,0.4137791987750462,0.2471258545532424,0.3184,1.5703517587939697
LR,33,18,170.9256591796875,769.2274169921875,0.12534894672140823,0.2794823189277479,0.17171864416109683,0.3184,1.5703517587939697
LR,7,19,12.068359375,253.55218505859375,0.1335858880191242,0.30996667432162406,0.18566209871036948,0.3184,1.5703517587939697
LR,24,20,5.54217529296875,337.5136260986328,0.3952101194127764,0.4381871808929899,0.6180813167003322,0.3184,1.5703517587939697
LR,53,21,12.26544189453125,326.55564880371094,0.11212262212236078,0.31462620655690177,0.15092018169418142,0.3184,1.5703517587939697
LR,49,22,6.9420166015625,713.546989440918,0.11912599343965292,0.4771047683776895,0.20392466750244828,0.3184,1.5703517587939697
LR,27,23,169.16522216796875,948.411376953125,0.13780631368175014,0.2384287348271647,0.16092335668808713,0.3184,1.5703517587939697
LR,39,24,171.27438354492188,342.16369342803955,0.21700979817768473,0.5795997330881479,0.27825733349089743,0.3184,1.5703517587939697
LR,40,25,10.597343444824219,210.05743408203125,0.073384848626037,0.6724550582671123,0.34210586164960693,0.3184,1.5703517587939697
LR,50,26,6.877166748046875,730.7263641357422,0.17522182057333874,0.4190036944500875,0.21538450553391533,0.3184,1.5703517587939697
LR,18,27,166.86489868164062,432.70794677734375,0.16211129538449595,0.2464347421672669,0.19850814503250366,0.3184,1.5703517587939697
LR,21,28,14.15924072265625,481.34349060058594,0.12231693835216542,0.19634575968575368,0.15579772386574367,0.3184,1.5703517587939697
LR,35,29,9.461982727050781,395.6851806640625,0.32481844863312165,0.47803312304356643,0.3463282925551639,0.3184,1.5703517587939697
LR,26,30,5.83270263671875,1156.4714050292969,0.2204445975598934,0.447299570907044,0.25346349104893307,0.3184,1.5703517587939697
LR,55,31,14.67279052734375,538.2748107910156,0.14676153933001712,0.419919466209355,0.21071810900152804,0.3184,1.5703517587939697
LR,2,32,11.53497314453125,816.5735168457031,0.1630986041871894,0.4110665721896504,0.20563145782336198,0.3184,1.5703517587939697
LR,39,33,8.41888427734375,986.1171112060547,0.22140723295626014,0.42542130410736523,0.26730381142127285,0.3184,1.5703517587939697
LR,54,34,165.25453186035156,223.66893005371094,0.14643606725380504,0.3224320687508152,0.24311734814523214,0.3184,1.5703517587939697
LR,31,35,8.67266845703125,1077.1134033203125,0.15915343787156847,0.49247590108329814,0.20548697748884265,0.3184,1.5703517587939697
LR,52,36,9.226966857910156,501.8288269042969,0.19946113988691158,0.3071295546923868,0.23080286018625307,0.3184,1.5703517587939697
LR,21,37,167.2747573852539,320.256103515625,0.26865349276297873,0.7116777011691362,0.35750800511160935,0.3184,1.5703517587939697
LR,6,38,166.8785400390625,594.4488067626953,0.10488194786593262,0.45315763705121287,0.21664928928072893,0.3184,1.5703517587939697
LR,9,39,12.455108642578125,456.87194633483887,0.29899753039924215,0.5318290329052426,0.30401343570672307,0.3184,1.5703517587939697
LR,35,40,7.8526611328125,381.4597396850586,0.22784833365325674,0.49086761775216287,0.2696094297526593,0.3184,1.5703517587939697
LR,51,41,172.61468505859375,375.5696430206299,0.3280122382626454,0.5506918871334877,0.3160180036427014,0.3184,1.5703517587939697
LR,30,42,12.479843139648438,539.6765441894531,0.2541078361233372,0.4485828170266973,0.2728619600034176,0.3184,1.5703517587939697
LR,28,43,13.792266845703125,500.15504455566406,0.11633905988195138,0.2202409356670924,0.14172531534227198,0.3184,1.5703517587939697
LR,48,44,7.057098388671875,383.9935073852539,0.1970757652361142,0.628851396396679,0.2549932233150181,0.3184,1.5703517587939697
LR,52,45,7.764495849609375,910.3610610961914,0.15069757337844233,0.4748425609045989,0.21648455874817532,0.3184,1.5703517587939697
LR,55,46,11.689796447753906,343.83235931396484,0.11005020006935928,0.19110229032545603,0.14051919355454537,0.3184,1.5703517587939697
LR,31,47,10.0078125,579.8773956298828,0.12489012966889693,0.4111196982518993,0.21077865297837284,0.3184,1.5703517587939697
LR,16,48,168.01193237304688,727.5910186767578,0.14840979025148565,0.446155982362846,0.19183273290270594,0.3184,1.5703517587939697
LR,44,49,7.467376708984375,459.1227111816406,0.15621490281486947,0.5285047310156432,0.2621560922670595,0.3184,1.5703517587939697
LR,31,50,14.49151611328125,413.88711166381836,0.1328393049162767,0.5965946820529636,0.19974783485072956,0.3184,1.5703517587939697
LR,3,51,170.57757568359375,708.9913024902344,0.142844646358999,0.48188999281504286,0.2239969799931677,0.3184,1.5703517587939697
LR,8,52,171.1046142578125,842.1921157836914,0.12861531673902976,0.3792963770288268,0.1664853309958531,0.3184,1.5703517587939697
LR,21,53,168.92962646484375,890.017942905426,0.16880754410039173,0.4366391646331138,0.20490032744460998,0.3184,1.5703517587939697
LR,50,54,14.622711181640625,271.60191345214844,0.11456746618469335,0.1996185790553552,0.13475712892524835,0.3184,1.5703517587939697
LR,35,55,165.91587829589844,584.5526256561279,0.08878069932216708,0.1433726641144474,0.12743756867541436,0.3184,1.5703517587939697
LR,54,56,170.82421875,778.6946029663086,0.11087691009646436,0.30041279883263733,0.16938388579370922,0.3184,1.5703517587939697
LR,13,57,168.5784912109375,555.8654174804688,0.10304139486868456,0.21871896479161823,0.13022023322824297,0.3184,1.5703517587939697
LR,52,58,8.048431396484375,574.5913391113281,0.25647559201037806,0.5459202708508896,0.2709098016886636,0.3184,1.5703517587939697
LR,52,59,8.51666259765625,970.9028472900391,0.11517457386552532,0.3698221491901658,0.16752603570678193,0.3184,1.5703517587939697
LR,42,60,11.310203552246094,229.23599243164062,0.17833413190322964,0.577200103965661,0.26521473587742894,0.3184,1.5703517587939697
LR,32,61,13.98443603515625,648.2275085449219,0.1279772455132712,0.3974162085245889,0.17249385647192322,0.3184,1.5703517587939697
LR,9,62,173.97681427001953,611.7734642028809,0.23373436682206564,0.42506897355687256,0.29900589992161,0.3184,1.5703517587939697
LR,28,63,170.15731811523438,668.0571765899658,0.15070373755091318,0.4155283723411423,0.19779828650012424,0.3184,1.5703517587939697
LR,48,64,168.06527709960938,675.5849151611328,0.12375050446649792,0.2845297663680158,0.1633493272507923,0.3184,1.5703517587939697
LR,14,65,9.61181640625,275.65240478515625,0.29561476201647907,0.5095537558781722,0.27999721735329725,0.3184,1.5703517587939697
LR,28,66,171.0987548828125,208.61933135986328,0.4087326344955656,0.7218940051620482,0.38821299511794644,0.3184,1.5703517587939697
LR,6,67,7.041290283203125,1054.3240203857422,0.1828169919585852,0.27773105831909306,0.20186877379877213,0.3184,1.5703517587939697
LR,23,68,8.513427734375,234.13873291015625,0.5169643172653174,0.6812242204557926,0.6498009189750865,0.3184,1.5703517587939697
LR,50,69,171.431396484375,411.4513244628906,0.20118901062733938,0.4257673371659725,0.23321412190875998,0.3184,1.5703517587939697
LR,9,70,166.7002716064453,418.10460662841797,0.2138482544741728,0.5671640100282495,0.27916940853539934,0.3184,1.5703517587939697
LR,42,71,6.647857666015625,652.404182434082,0.09400070352589106,0.46611224647398486,0.17680815235233682,0.3184,1.5703517587939697
LR,9,72,170.27764892578125,332.4642028808594,0.18014893260265621,0.5010492331856613,0.238314459691071,0.3184,1.5703517587939697
LR,53,73,6.581146240234375,878.0339508056641,0.13169872886372475,0.401430072051329,0.17401113152061784,0.3184,1.5703517587939697
LR,54,74,11.603843688964844,756.6207885742188,0.17121079401301806,0.31524502946695987,0.1955789657277641,0.3184,1.5703517587939697
LR,26,75,8.498001098632812,729.9189147949219,0.17542234880033034,0.39645338517840806,0.21058581935232093,0.3184,1.5703517587939697
LR,18,76,14.64373779296875,470.02049255371094,0.16818481922516604,0.34837587017315985,0.20178796542874877,0.3184,1.5703517587939697
LR,47,77,171.77780151367188,838.4055824279785,0.11711249502134084,0.3865395348251753,0.18789301564872254,0.3184,1.5703517587939697
LR,36,78,174.57758331298828,424.91600799560547,0.20386222403271398,0.5493714799082057,0.2751664511955065,0.3184,1.5703517587939697
LR,51,79,8.841323852539062,562.3198852539062,0.08356954269631094,0.3875156667352484,0.23161037545658278,0.3184,1.5703517587939697
LR,19,80,9.59661865234375,622.0960235595703,0.1369539885699293,0.22380151365945317,0.18015985264282422,0.3184,1.5703517587939697
LR,10,81,165.2056884765625,593.2548828125,0.09641403843511871,0.33482731728260384,0.14429619988444226,0.3184,1.5703517587939697
LR,40,82,167.20321655273438,367.25891494750977,0.3540825455385088,0.5624676642889131,0.42867033974645846,0.3184,1.5703517587939697
LR,11,83,171.00331115722656,546.4391403198242,0.1731082079572725,0.4407288959487221,0.2524200395718843,0.3184,1.5703517587939697
LR,40,84,173.74337005615234,394.1069984436035,0.29721431079737454,0.376063969614797,0.3616852666426386,0.3184,1.5703517587939697
LR,19,85,170.4527587890625,996.5343170166016,0.15397550779864072,0.2612437124122,0.1755910196108981,0.3184,1.5703517587939697
LR,21,86,10.0924072265625,933.0865783691406,0.16379146245755577,0.4514614378157212,0.21807971657394837,0.3184,1.5703517587939697
LR,29,87,171.30921173095703,262.3883056640625,0.15467117227490726,0.339634388559588,0.18544899339147278,0.3184,1.5703517587939697
